adduser	3.118ubuntu5
libstdc++6:amd64	12.3.0-1ubuntu1~22.04.3
libsystemd0:amd64	249.11-0ubuntu3.17
libtasn1-6:amd64	4.18.0-4ubuntu0.2
libtesseract4:amd64	4.1.1-2.1build1
libtiff5:amd64	4.3.0-6ubuntu0.13
libtinfo6:amd64	6.3-2ubuntu0.1
libtirpc-common	1.3.2-2ubuntu0.1
libtirpc3:amd64	1.3.2-2ubuntu0.1
libudev1:amd64	249.11-0ubuntu3.17
libunistring2:amd64	1.0-1
libunwind8:amd64	1.3.2-2build2.1
libuuid1:amd64	2.37.2-4ubuntu3.5
libwebp7:amd64	1.2.2-2ubuntu0.22.04.2
libwebpmux3:amd64	1.2.2-2ubuntu0.22.04.2
libx11-6:amd64	2:1.7.5-1ubuntu0.3
libx11-data	2:1.7.5-1ubuntu0.3
libx11-xcb1:amd64	2:1.7.5-1ubuntu0.3
libxau6:amd64	1:1.0.9-1build5
libxaw7:amd64	2:1.0.14-1
libxcb-dri2-0:amd64	1.14-3ubuntu3
libxcb-dri3-0:amd64	1.14-3ubuntu3
libxcb-glx0:amd64	1.14-3ubuntu3
libxcb-present0:amd64	1.14-3ubuntu3
libxcb-randr0:amd64	1.14-3ubuntu3
libxcb-shm0:amd64	1.14-3ubuntu3
libxcb-sync1:amd64	1.14-3ubuntu3
libxcb-xfixes0:amd64	1.14-3ubuntu3
libxcb1:amd64	1.14-3ubuntu3
libxdmcp6:amd64	1:1.1.3-0ubuntu5
libxext6:amd64	2:1.3.4-1build1
libxfixes3:amd64	1:6.0.0-1
libxfont2:amd64	1:2.0.5-1ubuntu0.2
libxi6:amd64	2:1.8-1build1
libxkbfile1:amd64	1:1.1.0-1build3
libxml2:amd64	2.9.13+dfsg-1ubuntu0.11
libxmu6:amd64	2:1.1.3-3
libxmuu1:amd64	2:1.1.3-3
libxpm4:amd64	1:3.5.12-1ubuntu0.22.04.3
libxrender1:amd64	1:0.9.10-1build4
libxshmfence1:amd64	1.3-1build4
libxt6:amd64	1:1.2.1-1
libxtst6:amd64	2:1.2.3-1build4
libxxf86vm1:amd64	1:1.1.4-1build3
libxxhash0:amd64	0.8.1-1
libzstd1:amd64	1.4.8+dfsg-3build1
locales	2.35-0ubuntu3.13
login	1:4.8.1-2ubuntu2.2
logsave	1.46.5-2ubuntu1.2
lsb-base	11.1.0ubuntu4
mawk	1.3.4.20200120-3
media-types	7.0.0
mount	2.37.2-4ubuntu3.5
ncurses-base	6.3-2ubuntu0.1
ncurses-bin	6.3-2ubuntu0.1
net-tools	1.60+git20181103.0eebece-1ubuntu5.4
openssl	3.0.2-0ubuntu1.21
p11-kit	0.24.0-6build1
p11-kit-modules:amd64	0.24.0-6build1
passwd	1:4.8.1-2ubuntu2.2
perl-base	5.34.0-3ubuntu1.5
pinentry-curses	1.1.1-1build2
procps	2:3.3.17-6ubuntu2.1
python3	3.10.6-1~22.04.1
python3-distutils	3.10.8-1~22.04
python3-lib2to3	3.10.8-1~22.04
python3-minimal	3.10.6-1~22.04.1
python3-pip	22.0.2+dfsg-1ubuntu0.7
python3-pip-whl	22.0.2+dfsg-1ubuntu0.7
python3-pkg-resources	59.6.0-1.2ubuntu0.22.04.3
python3-setuptools	59.6.0-1.2ubuntu0.22.04.3
python3-setuptools-whl	59.6.0-1.2ubuntu0.22.04.3
python3-venv	3.10.6-1~22.04.1
python3-wheel	0.37.1-2ubuntu0.22.04.1
python3.10	3.10.12-1~22.04.15
python3.10-minimal	3.10.12-1~22.04.15
python3.10-venv	3.10.12-1~22.04.15
readline-common	8.1.2-1
sed	4.8-1ubuntu2
sensible-utils	0.0.17
sysvinit-utils	3.01-1ubuntu1
tar	1.34+dfsg-1ubuntu0.1.22.04.2
tzdata	2025b-0ubuntu0.22.04.1
ubuntu-keyring	2021.03.26
ucf	3.0043
usrmerge	25ubuntu2
util-linux	2.37.2-4ubuntu3.5
wget	1.21.2-2ubuntu1.1
x11-common	1:7.7+23ubuntu2
x11-xkb-utils	7.7+5build4
xauth	1:1.1-1build2
xkb-data	2.33-1
xserver-common	2:21.1.4-2ubuntu1.7~22.04.16
xvfb	2:21.1.4-2ubuntu1.7~22.04.16
zlib1g:amd64	1:1.2.11.dfsg-2ubuntu9.2
